样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
1,300,,405,700,6:30:00,25,,,8:00:00,100,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,300,15:00-15:30,40,9,5,15:30:00,70,16:00:00,78,0:00-1:00,320,3.5,3.5,1:00-2:30,2:30:00,60,4:30:00,40,8:00-9:30,10:00-11:30,,800,0.15,400,0.9
4,300,,405,700,14:00:00,24,,,15:30:00,100,16:30:00,102,0.2,17:30:00,102,18:30:00,102,0.2,300,18:30-19:00,40,10,5,19:00:00,70,19:30:00,78,4:00-5:30,300,3.5,3.5,5:30-6:30,6:30:00,60,12:00:00,40,12:00-13:30,14:30-15:00,,800,0.15,400,0.896
8,300,,405,700,3:30:00,21,,,5:00:00,100,6:00:00,102,0.2,7:00:00,103,8:00:00,105,0.2,300,11:30-12:00,40,9,5,12:00:00,70,12:30:00,78,19:00-20:00,310,3.5,3.5,20:00-21:0,21:00:00,58,0:30:00,40,1:00-2:30,3:00-4:30,,800,0.15,420,0.93
9,300,,405,700,15:00:00,21,,,16:00:00,100,17:00:00,102,0.2,18:00:00,103,19:00:00,104,0.2,300,20:30-21:00,40,9,5,21:00:00,71,21:30:00,78,3:30-4:30,310,3.5,3.5,4:30-6:00,6:00:00,59,12:00:00,40,12:00-13:30,14:00-15:00,,800,0.15,420,0.935
11,300,,405,700,6:00:00,20,,,7:30:00,100,8:30:00,102,0.2,9:30:00,102,10:30:00,102,0.2,300,10:30-11:0,40,10,5,11:30:00,70,12:00:00,78,23:00-0:0,310,3.5,3.5,0:00-1:00,1:00:00,60,3:30:00,40,8:00-9:30,10:00-11:30,,800,0.15,420,0.923
12,300,,405,700,15:00:00,24,,,16:30:00,100,17:30:00,102,0.2,18:30:00,102,19:30:00,102,0.2,300,0:00-0:30,30,9,5,0:30:00,70,1:00:00,78,10:40-11:40,310,3.5,3.5,12:30-14:00,,60,16:30:00,40,16:30-18:00,18:00-19:30,,800,0.15,420,0.923
13,300,,405,700,3:30:00,21,,,5:00:00,100,6:00:00,102,0.2,7:00:00,103,8:00:00,104,0.2,300,11:50-12:20,30,9,5,12:20:00,71,13:20:00,78,18:00-19:00,300,3.5,3.5,19:00-20:30,20:30:00,60,0:00:00,40,3:00-4:30,5:00-6:30,,800,0.15,420,0.923
14,300,,405,700,13:00:00,23,,,14:30:00,100,15:30:00,103,0.2,16:30:00,103,17:30:00,104,0.2,300,14:00-14:30,40,10,5,19:30:00,70,20:00:00,78,5:00-6:0,300,3.5,3.5,6:00-7:30,7:30:00,65,10:00:00,40,12:00-14:30,14:30-16:00,,800,0.15,420,0.923
16,300,,405,700,7:00:00,24,,,8:00:00,100,9:00:00,102,0.2,10:00:00,103,11:00:00,104,0.2,300,16:00-16:30,40,9,5,16:30:00,70,17:00:00,78,23:00-0:30,310,3.5,3.5,0:30-2:00,2:00:00,65,8:00:00,40,8:00-9:30,10:00-11:30,,800,0.15,420,0.923
17,300,,405,700,19:00:00,23,,,20:30:00,100,21:30:00,102,0.2,22:30:00,102,23:30:00,103,0.2,300,1:00-1:30,50,9,5,1:30:00,70,2:00:00,77,10:00-11:00,300,3.5,3.5,11:00-12:00,12:00:00,60,16:00:00,40,16:00-17:30,18:00-19:30,,800,0.15,400,0.879
21,300,,405,700,8:30:00,24,,,9:00:00,100,10:00:00,103,0.2,11:00:00,103,12:00:00,103,0.2,300,15:30-16:00,35,9,5,16:00:00,71,16:30:00,79,23:00-0:00,300,3.5,3.5,0:00-1:30,1:30:00,60,4:00:00,40,8:30-10:00,10:30-12:00,,800,0.15,400,0.891
22,300,,405,700,17:00:00,24,,,18:30:00,100,19:30:00,102,0.2,20:30:00,101,21:30:00,104,0.2,300,0:30-1:00,50,10,5,1:00:00,70,1:30:00,78,11:00-12:00,300,3.5,3.5,12:00-13:00,13:00:00,60,16:00:00,40,16:30-18:00,18:30-20:00,,800,0.15,400,0.879
24,300,,405,700,14:00:00,21,,,15:30:00,100,16:30:00,102,0.2,17:30:00,103,18:30:00,104,0.2,300,19:30-20:00,35,9,5,20:00:00,70,20:30:00,78,5:30-6:30,310,3.5,3.5,6:30-8:00,8:00:00,65,12:00:00,40,12:00-13:30,14:00-15:30,,800,0.15,400,0.879
25,300,,405,700,22:00:00,22,,,23:30:00,100,12:30:00,102,0.2,1:30:00,102,2:30:00,103,0.2,300,6:30-7:00,35,9,5,7:00:00,70,7:30:00,78,14:00-15:00,300,3.5,3.5,15:00-16:30,16:30:00,60,19:30:00,40,20:30-22:30,23:30-1:00,,800,0.15,400,0.891
26,300,,405,700,8:00:00,21,,,9:30:00,100,10:30:00,102,0.2,11:30:00,102,12:30:00,103,0.2,300,15:30-16:30,50,10,5,16:30:00,70,17:00:00,78,0:00-1:00,300,3.5,3.5,1:00-2:00,2:00:00,60,5:00:00,40,8:00-9:30,10:30-12:00,,800,0.15,420,0.923
27,300,,405,700,16:30:00,20,,,17:30:00,100,18:30:00,102,0.2,19:30:00,103,20:30:00,104,0.2,300,1:00-1:30,40,9,5,1:30:00,70,2:00:00,78,10:30-11:30,310,3.5,3.5,11:30-13:00,13:00:00,80,17:00:00,40,17:00-18:30,19:00-20:30,,800,0.15,420,0.923
29,300,,405,700,14:00:00,22,,,15:30:00,100,16:30:00,103,0.2,17:30:00,103,18:30:00,103,0.2,300,20:30-21:00,50,10,5,21:00:00,70,21:30:00,78,5:30-6:30,300,3.5,3.5,6:30-7:30,7:30:00,60,11:00:00,40,12:30-14:00,14:30-16:00,,800,0.15,400,0.891
30,300,,405,700,23:00:00,24,,,0:00:00,100,1:00:00,101,0.2,2:00:00,105,3:00:00,105,0.2,300,6:30-7:00,50,10,5,7:00:00,70,7:30:00,78,14:30-15:30,300,3.5,3.5,15:30-16:30,16:30:00,60,19:00:00,40,21:00-22:30,23:00-0:30,,800,0.15,420,0.923
33,300,,405,700,3:30:00,24,,,5:00:00,100,6:00:00,102,0.2,7:00:00,103,8:00:00,103,0.2,300,12:00-12:30,50,10,5,12:30:00,70,13:00:00,78,18:00-19:00,300,3.5,3.5,19:00-20:30,20:30:00,60,22:30:00,40,1:00-2:30,3:30-6:00,,800,0.15,420,0.923
34,300,,405,700,14:30:00,22,,,15:30:00,100,16:30:00,104,0.2,17:30:00,106,18:30:00,105,0.2,300,19:00-19:30,40,9,5,19:30:00,70,20:00:00,78,4:00-5:00,300,3.5,3.5,5:00-6:00,6:00:00,60,12:00:00,40,12:30-14:00,14:30-16:00,,800,0.15,440,0.967
36,300,,405,700,7:00:00,21,,,8:20:00,100,9:20:00,103,0.2,10:20:00,103,11:20:00,103,0.2,300,16:00-16:30,40,9,5,16:30:00,70,17:00:00,78,1:30-2:30,300,3.5,3.5,2:30-4:00,4:00:00,60,8:00:00,40,8:00-9:30,10:30-12:00,,800,0.15,420,0.935
